blk_no,street,postal_code,name,lat,lon,change_type,location_change_meters,prev_name,prev_lat,prev_lon
20A,REPUBLIC AVENUE,39969,TEMPORARY SITE OFFICE,1.29889797716708,103.862538779845,new_building,,,,
395,NEW BRIDGE ROAD,89808,NIL,1.2781168258963,103.838592330193,new_building,,,,
43F,WEST COAST ROAD,129675,NIL,1.29524862504034,103.766403186296,new_building,,,,
43G,WEST COAST ROAD,129676,NIL,1.29522771761071,103.766352041926,new_building,,,,
18,TANGLIN HALT ROAD,140018,TANGLIN HALT COURTYARD,1.30005817218833,103.798353981634,new_building,,,,
17A,TANGLIN HALT ROAD,141017,TANGLIN HALT COURTYARD,1.29965100087736,103.798031741959,new_building,,,,
0598,SERANGOON ROAD,218210,NIL,1.31522075766025,103.858397109361,new_building,,,,
22,ORCHARD BOULEVARD,249628,UPPERHOUSE AT ORCHARD BOULEVARD,1.30199604255669,103.824015107233,new_building,,,,
118,FARRER ROAD,259384,CHIP HOCK GARDENS,1.31958470328528,103.811756490577,new_building,,,,
120,GALLOP PARK ROAD,259407,CHIP HOCK GARDENS,1.31964196384061,103.811694586999,new_building,,,,
46A,MOUNT SINAI ROAD,278138,HENRY PARK,1.31373356572843,103.785100137895,new_building,,,,
,HOLLAND ROAD,278623,MCMAHON PARK,1.31758721213038,103.786651192385,new_building,,,,
2,HOLLAND VILLAGE WAY,279035,SKYE AT HOLLAND,1.31216454554039,103.792689741396,new_building,,,,
4,HOLLAND VILLAGE WAY,279036,SKYE AT HOLLAND,1.31216454554039,103.792689741396,new_building,,,,
6,HOLLAND VILLAGE WAY,279037,SKYE AT HOLLAND,1.31216454554039,103.792689741396,new_building,,,,
2A,GROVE AVENUE,279577,HENRY PARK,1.31364859034077,103.785145149668,new_building,,,,
,BERRIMA ROAD,299920,DUNEARN ESTATE,1.32347627957433,103.824008166083,new_building,,,,
118,MAY ROAD,320118,TOWNER BREEZE,1.32261764194216,103.857975938258,new_building,,,,
118A,MAY ROAD,321118,TOWNER BREEZE,1.3226902229318,103.858582587596,new_building,,,,
35,UPPER BOON KENG ROAD,380035,KALLANG VIEW,1.3172307159829,103.873851965001,new_building,,,,
36,UPPER BOON KENG ROAD,380036,KALLANG VIEW,1.31758240979933,103.873908786717,new_building,,,,
37,UPPER BOON KENG ROAD,380037,KALLANG VIEW,1.31808595570445,103.873873400527,new_building,,,,
36A,UPPER BOON KENG ROAD,381036,KALLANG VIEW,1.31737546326765,103.873477774286,new_building,,,,
37A,UPPER BOON KENG ROAD,381037,KALLANG VIEW,1.31785843371484,103.873293110776,new_building,,,,
37B,UPPER BOON KENG ROAD,382037,KALLANG VIEW,1.31789622811116,103.873557520576,new_building,,,,
117,JALAN KEMBANGAN,410117,KEMBANGAN WAVE,1.32164023627263,103.913193476299,new_building,,,,
117A,JALAN KEMBANGAN,411117,NIL,1.32268355501331,103.913022311205,new_building,,,,
117B,JALAN KEMBANGAN,412117,NIL,1.32233228825057,103.913094031136,new_building,,,,
18M,JALAN PARAS,418001,YONG SENG ESTATE,1.32540411615774,103.916618630162,new_building,,,,
24,SAMPAN PLACE,430024,TANJONG RHU RIVERFRONT I,1.30058712235481,103.881442536598,new_building,,,,
25,SAMPAN PLACE,430025,TANJONG RHU RIVERFRONT I,1.30027992481569,103.880475343119,new_building,,,,
26,KAMPONG ARANG ROAD,430026,TANJONG RHU RIVERFRONT II,1.29920657766095,103.879515111196,new_building,,,,
27,KAMPONG ARANG ROAD,430027,TANJONG RHU RIVERFRONT II,1.29880884005816,103.880231433796,new_building,,,,
28,KAMPONG ARANG ROAD,430028,TANJONG RHU RIVERFRONT II,1.29855009284227,103.880045572059,new_building,,,,
29,KAMPONG ARANG ROAD,430029,TANJONG RHU RIVERFRONT II,1.29827554197498,103.878277448068,new_building,,,,
31,TANJONG RHU CLOSE,430031,TANJONG RHU PARC FRONT,1.2961609566205,103.878915186474,new_building,,,,
32,TANJONG RHU CLOSE,430032,TANJONG RHU PARC FRONT,1.29650050598839,103.878208370651,new_building,,,,
33,TANJONG RHU CLOSE,430033,TANJONG RHU PARC FRONT,1.29657078460139,103.877347612744,new_building,,,,
24A,SAMPAN PLACE,431024,TANJONG RHU RIVERFRONT I,1.30015120061742,103.881665977037,new_building,,,,
25A,SAMPAN PLACE,431025,TANJONG RHU RIVERFRONT I,1.29982584615812,103.880481977053,new_building,,,,
26A,KAMPONG ARANG ROAD,431026,TANJONG RHU RIVERFRONT II,1.29927530445382,103.880099839297,new_building,,,,
28A,KAMPONG ARANG ROAD,431028,TANJONG RHU RIVERFRONT II,1.29802152328663,103.880035065904,new_building,,,,
29A,KAMPONG ARANG ROAD,431029,TANJONG RHU RIVERFRONT II,1.29843915797634,103.878607675133,new_building,,,,
31A,TANJONG RHU CLOSE,431031,TANJONG RHU PARC FRONT,1.29641911752058,103.878848857094,new_building,,,,
32A,TANJONG RHU CLOSE,431032,TANJONG RHU PARC FRONT,1.29700182204912,103.878607715393,new_building,,,,
33A,TANJONG RHU CLOSE,431033,TANJONG RHU PARC FRONT,1.29684013556829,103.877661286764,new_building,,,,
24B,SAMPAN PLACE,432024,TANJONG RHU RIVERFRONT I,1.30012368665181,103.881293933815,new_building,,,,
26B,KAMPONG ARANG ROAD,432026,TANJONG RHU RIVERFRONT II,1.29894832661201,103.87979331624,new_building,,,,
28B,KAMPONG ARANG ROAD,432028,TANJONG RHU RIVERFRONT II,1.29797804530835,103.879226517442,new_building,,,,
29B,KAMPONG ARANG ROAD,432029,TANJONG RHU RIVERFRONT II,1.29884166230082,103.879222433049,new_building,,,,
24C,SAMPAN PLACE,433024,TANJONG RHU RIVERFRONT I,1.30096135129553,103.881130588879,new_building,,,,
28C,KAMPONG ARANG ROAD,433028,TANJONG RHU RIVERFRONT II,1.29846227854117,103.879510640349,new_building,,,,
2,FOUNDERS DRIVE,438663,BAY EAST GARDEN,1.29090225394468,103.868764303679,new_building,,,,
31,ROSE LANE,438955,NIL,1.31018318008506,103.892689811701,new_building,,,,
33,ROSE LANE,438956,NIL,1.31024133385499,103.892699057684,new_building,,,,
6C,PALM AVENUE,456254,NIL,1.3126037377154,103.930004532389,new_building,,,,
6B,PALM AVENUE,456255,NIL,1.31266481688362,103.930001330628,new_building,,,,
92F,UPPER EAST COAST ROAD,456340,NIL,1.31238497322508,103.92848340598,new_building,,,,
6A,TAY LIAN TECK ROAD,456592,NIL,1.31259675695058,103.929843495617,new_building,,,,
813,CHAI CHEE LANE,460813,CHAI CHEE GREEN,1.33095899079903,103.919255080028,new_building,,,,
814,CHAI CHEE LANE,460814,CHAI CHEE GREEN,1.33076096418017,103.920023625999,new_building,,,,
815,CHAI CHEE LANE,460815,CHAI CHEE GREEN,1.32960093425915,103.920782857658,new_building,,,,
816,CHAI CHEE LANE,460816,CHAI CHEE GREEN,1.32943726660868,103.919254047197,new_building,,,,
49A,NEW UPPER CHANGI ROAD,461049,BEDOK SOUTH BLOOM,1.32436695109707,103.938985957668,new_building,,,,
813A,CHAI CHEE LANE,461813,CHAI CHEE GREEN,1.33091548367627,103.919832699316,new_building,,,,
814A,CHAI CHEE LANE,461814,CHAI CHEE GREEN,1.33049993453277,103.920244290425,new_building,,,,
815A,CHAI CHEE LANE,461815,CHAI CHEE GREEN,1.32984662185852,103.920798366123,new_building,,,,
816A,CHAI CHEE LANE,461816,CHAI CHEE GREEN,1.33002103095596,103.919652195202,new_building,,,,
49B,NEW UPPER CHANGI ROAD,462049,BEDOK SOUTH BLOOM,1.32373141843112,103.938910509504,new_building,,,,
814B,CHAI CHEE LANE,462814,CHAI CHEE GREEN,1.33020656332708,103.920665969142,new_building,,,,
815B,CHAI CHEE LANE,462815,CHAI CHEE GREEN,1.32946784738914,103.919825070615,new_building,,,,
816B,CHAI CHEE LANE,462816,CHAI CHEE GREEN,1.32913881309119,103.919841525578,new_building,,,,
208,BEDOK SOUTH AVENUE 1,469726,NIL,1.31537344717972,103.931589521252,new_building,,,,
32A,SUNBIRD CIRCLE,488512,APOLLO GARDENS,1.33946023112934,103.958780780774,new_building,,,,
8A,CHANGI EAST CLOSE,499918,CHANGI WATER RECLAMATION PLANT,1.31605546595132,104.002791003001,new_building,,,,
31,FLORA DRIVE,509904,KASSIA,1.35709630624257,103.965501900375,new_building,,,,
33,FLORA DRIVE,509905,KASSIA,1.35709630624257,103.965501900375,new_building,,,,
35,FLORA DRIVE,509906,KASSIA,1.35709630624257,103.965501900375,new_building,,,,
37,FLORA DRIVE,509912,KASSIA,1.35709630624257,103.965501900375,new_building,,,,
39,FLORA DRIVE,509919,KASSIA,1.35709630624257,103.965501900375,new_building,,,,
973,TAMPINES STREET 94,520973,TAMPINES GREENTOPAZ,1.34319783017004,103.940044257699,new_building,,,,
974,TAMPINES STREET 94,520974,TAMPINES GREENTOPAZ,1.34377932250467,103.939830133304,new_building,,,,
973A,TAMPINES STREET 94,521973,TAMPINES GREENTOPAZ,1.34323104492193,103.940695002304,new_building,,,,
974A,TAMPINES STREET 94,521974,TAMPINES GREENTOPAZ,1.34414462939129,103.940463936751,new_building,,,,
973B,TAMPINES STREET 94,522973,TAMPINES GREENTOPAZ,1.34377240199801,103.940539163165,new_building,,,,
974B,TAMPINES STREET 94,522974,TAMPINES GREENTOPAZ,1.34441343800594,103.940101450397,new_building,,,,
1,ANCHORVALE CLOSE,546389,NIL,1.39253493289549,103.885952406683,new_building,,,,
12A,BRIGHTON CRESCENT,559504,NIL,1.36236023087099,103.869411356887,new_building,,,,
12B,BRIGHTON CRESCENT,559591,NIL,1.36232461964173,103.869372407714,new_building,,,,
,JURONG EAST STREET 12,609690,JURONG EAST MRT STATION (JE5),1.33301320936138,103.741893277263,new_building,,,,
15A,JURONG TOWN HALL ROAD,609890,TEMPORARY SITE OFFICE,1.33067522480302,103.740968402065,new_building,,,,
194,WOODLANDS CENTRE ROAD,730194,NIL,1.43541449197441,103.773057763485,new_building,,,,
194A,WOODLANDS CENTRE ROAD,731194,NIL,1.43501798422042,103.772958780842,new_building,,,,
972,LORONG CHENCHARU,760972,CHENCHARU HILLS,1.41678228714385,103.824674349575,new_building,,,,
973,LORONG CHENCHARU,760973,CHENCHARU HILLS,1.41714804357478,103.824521799423,new_building,,,,
974,LORONG CHENCHARU,760974,CHENCHARU HILLS,1.41637039150961,103.827284586563,new_building,,,,
972A,LORONG CHENCHARU,761972,CHENCHARU HILLS,1.41703504141107,103.82486101598,new_building,,,,
973A,LORONG CHENCHARU,761973,CHENCHARU HILLS,1.41717305036925,103.825174300076,new_building,,,,
974A,LORONG CHENCHARU,761974,CHENCHARU HILLS,1.41622619764551,103.826335611707,new_building,,,,
972B,LORONG CHENCHARU,762972,CHENCHARU HILLS,1.4166069727286,103.825248334331,new_building,,,,
973B,LORONG CHENCHARU,762973,CHENCHARU HILLS,1.41698757496633,103.825777091623,new_building,,,,
974B,LORONG CHENCHARU,762974,CHENCHARU HILLS,1.41689069015448,103.827006491099,new_building,,,,
972C,LORONG CHENCHARU,763972,CHENCHARU HILLS,1.41640754313988,103.825907405885,new_building,,,,
973C,LORONG CHENCHARU,763973,CHENCHARU HILLS,1.41711160363276,103.826326690949,new_building,,,,
974C,LORONG CHENCHARU,763974,CHENCHARU HILLS,1.41670459401426,103.827618254384,new_building,,,,
974D,LORONG CHENCHARU,764974,CHENCHARU HILLS,1.41600692357978,103.826928162798,new_building,,,,
301,SELETAR NORTH LINK,799346,NIL,1.42552952489219,103.881370538444,new_building,,,,
65,WOODLEIGH PARK,357875,NIL,1.34011527351959,103.862721396199,location_change,549.2600810839314,NIL,1.33743254426552,103.866870149215
24,RAFFLES PLACE,48621,NIL,1.28385582828327,103.852130103244,name_change,,CLIFFORD CENTRE,1.28385582828327,103.852130103244
12,LORONG 12 GEYLANG,398993,NIL,1.31140044123756,103.878121314712,name_change,,YAJU HOTEL,1.31140044123756,103.878121314712
26,LENTOR CENTRAL,788879,HILLOCK GREEN,1.38509631948606,103.833849401084,name_change,,NIL,1.38509631948606,103.833849401084
36,LENTOR HILLS ROAD,788853,LENTORIA (U/C),1.38196577099896,103.834569911036,name_change,,NIL,1.38196577099896,103.834569911036
81,ALJUNIED ROAD,389823,YHWH BUILDING,1.3170479417931,103.881581516076,name_change,,NIL,1.3170479417931,103.881581516076
15,PASIR RIS STREET 21,518969,HAI SING CATHOLIC SCHOOL (TILL 31 DEC 2025),1.36933055696636,103.962762942764,name_change,,NIL,1.36933055696636,103.962762942764
11,UPPER WILKIE ROAD,228120,NIL,1.30305513691353,103.848506993026,name_change,,INTERCULTURAL THEATRE INSTITUTE,1.30329455353105,103.848657618698
55,ARMENIAN STREET,179943,SMU YONG PUNG HOW SCHOOL OF LAW,1.29510840992217,103.848922492718,name_change,,SINGAPORE MANAGEMENT UNIVERSITY (SCHOOL OF LAW),1.29510840992217,103.848922492718
2,HILLVIEW ROAD,669317,HILLVIEW JUNCTION,1.36230988592362,103.766877265217,name_change,,NIL,1.36230988592362,103.766877265217
20,TUAS SOUTH AVENUE 14,637312,TUAS LOGISTICS HUB,1.27360991018693,103.622814079982,name_change,,LOGOS TUAS LOGISTICS HUB,1.27360991018693,103.622814079982
89,KOON SENG ROAD,427030,KOON SENG HOUSE,1.31222193982018,103.904564129604,name_change,,EAST COURT,1.31224851290294,103.90453796442
64,LENTOR GARDENS,788850,LENTOR MANSION (U/C),1.38327514262867,103.833148101837,name_change,,NIL,1.38327514262867,103.833148101837
5,HAVELOCK SQUARE,59964,NIL,1.28704246316243,103.843848184006,name_change,,FAMILY JUSTICE COURTS,1.28704246316243,103.843848184006
84,SELETAR NORTH LINK,797615,NIL,1.4242714099209,103.889735912434,location_change,607.5655206769762,NIL,1.42155562012161,103.894478622843
36C,KHEAM HOCK ROAD,298805,NIL,1.32811153306916,103.820685759183,name_change,,KEW LODGE,1.32820448236384,103.820738249518
32,LENTOR HILLS ROAD,788851,LENTORIA (U/C),1.38196577099896,103.834569911036,name_change,,NIL,1.38196577099896,103.834569911036
261,OUTRAM ROAD,169057,SOCIAL ON OUTRAM,1.28513583802039,103.834721943645,name_change,,NIL,1.28513051939678,103.834705367894
18,PIONEER ROAD,628498,NIL,1.31196599484918,103.686973622172,location_change,467.5217164920828,NIL,1.30776649760434,103.687179207763
22,LENTOR CENTRAL,788877,HILLOCK GREEN,1.38509631948606,103.833849401084,name_change,,NIL,1.38509631948606,103.833849401084
203,BIDADARI PARK DRIVE,360203,WOODLEIGH BUS INTERCHANGE,1.34010199499175,103.871657833022,name_change,,BUS INTERCHANGE,1.34010199499175,103.871657833022
11,HILLSIDE DRIVE,548926,HILLSIDE WORLD ACADEMY,1.3565140097985,103.878095949584,name_change,,NIL,1.35656628935632,103.878043471931
12,TANNERY ROAD,347722,TANNERY LODGE I,1.32914525973048,103.876315356655,name_change,,NIL,1.32914525973048,103.876315356655
9,PASIR RIS DRIVE 6,519421,HAI SING CATHOLIC SCHOOL (U/C),1.3743371707478,103.954544548905,name_change,,HAI SING CATHOLIC SCHOOL,1.3743371707478,103.954544548905
31,TANNERY LANE,347788,TANNERY LODGE II,1.32873678278978,103.876294937093,name_change,,NIL,1.32873678278978,103.876294937093
17,SAKRA ROAD,627886,NIL,1.26485446056716,103.704820373564,location_change,442.0505910969017,NIL,1.26103987283295,103.703700648738
137,CECIL STREET,69537,CECIL PLACE,1.27967894092681,103.84859453785,name_change,,CECIL BUILDING,1.27967894092681,103.84859453785
21,WOODLANDS AVENUE 1,739062,WOODLANDS RING SECONDARY SCHOOL (TILL JAN 2029),1.43070452883799,103.777625748539,name_change,,FUCHUN SECONDARY SCHOOL,1.43070452883799,103.777625748539
501,PASIR RIS DRIVE 3,519490,NIL,1.37354705786224,103.950490160084,name_change,,PASIR RIS BUS INTERCHANGE,1.37354705786224,103.950490160084
58,DALVEY ROAD,259463,EMBASSY OF ISRAEL,1.31449150559045,103.822973803749,name_change,,NIL,1.31453843651666,103.823029597188
201,CHESTNUT AVENUE,679525,NIL,1.37749613665976,103.777438972627,location_change,698.1761120048952,NIL,1.37168064590228,103.779806932515
860,NEW UPPER CHANGI ROAD,467353,NEW UPPER CHANGI ROAD,1.32401711963192,103.938966799723,name_change,,NIL,1.32366796595959,103.939157444931
56,LENTOR GARDENS,788846,LENTOR MANSION (U/C),1.38327514262867,103.833148101837,name_change,,NIL,1.38327514262867,103.833148101837
48,TUAS AVENUE 9,639191,PENTA-CHEM BUILDING,1.32948567079307,103.644128203142,name_change,,KIAN GUAN INDUSTRIES BUILDING,1.32948567079307,103.644128203142
60,LENTOR GARDENS,788848,LENTOR MANSION (U/C),1.38327514262867,103.833148101837,name_change,,NIL,1.38327514262867,103.833148101837
80,BARTLEY ROAD,539786,NIL,1.34218395739981,103.87809644863,name_change,,MARIS STELLA HIGH SCHOOL,1.34218395739981,103.87809644863
61,MERANTI CRESCENT,627807,NIL,1.23879231174687,103.685897668792,location_change,626.4423138171596,NIL,1.23612189612029,103.68093588601
11,WOODLANDS CLOSE,737853,CALROSE ACADEMY PTE. LTD.,1.43475840297332,103.802721060156,name_change,,BETHESDA CHRISTIAN CENTRE,1.43482603452741,103.802773360648
61,WESTERHOUT ROAD,397662,KIP INN,1.31122558971043,103.881036628885,name_change,,AQ @ WESTERHOUT,1.31122558971043,103.881036628885
5,TAMPINES CENTRAL 6,529482,NIL,1.35344127682039,103.942027827003,name_change,,TAMPINES CENTRAL POST OFFICE,1.35343481251809,103.942097061129
110,TAGORE LANE,787545,E-MESH BUILDING,1.38475095254533,103.829103365034,name_change,,SINDO INDUSTRIAL ESTATE,1.38475095254533,103.829103365034
1,SERAYA AVENUE,628208,NIL,1.27111672941869,103.736254000329,location_change,1170.465548513613,NIL,1.27589242545013,103.726871135948
450,JALAN AHMAD IBRAHIM,639932,SINGAPORE RAIL TEST CENTRE,1.34572615709636,103.642018211704,name_change,,INTEGRATED TRAIN TESTING CENTRE,1.34600130572253,103.64044900588
1,LEONIE HILL,239219,ONE LEONIE RESIDENCES,1.29930788596273,103.832399949956,name_change,,NIL,1.29930788596273,103.832399949956
52,LENTOR GARDENS,788844,LENTOR MANSION (U/C),1.38327514262867,103.833148101837,name_change,,NIL,1.38327514262867,103.833148101837
50,JURONG ISLAND HIGHWAY,627877,NIL,1.28176147502858,103.718748794438,location_change,347.98312654587124,NIL,1.2805727238784,103.715853150469
28,LENTOR CENTRAL,788880,HILLOCK GREEN,1.38509631948606,103.833849401084,name_change,,NIL,1.38509631948606,103.833849401084
95,GALLOP PARK ROAD,258991,GALLOP VILLAS,1.31767560438521,103.810412430262,name_change,,NIL,1.31764725578842,103.810591240208
49,NEW UPPER CHANGI ROAD,460049,BEDOK SOUTH BLOOM,1.32430117973484,103.938654033654,name_and_location_change,554.8849212844292,NIL,1.32310804617747,103.943500791777
38,LENTOR HILLS ROAD,788854,LENTORIA (U/C),1.38196577099896,103.834569911036,name_change,,NIL,1.38196577099896,103.834569911036
80,MANDAI LAKE ROAD,729826,GIANT PANDA FOREST,1.40365248268001,103.792498795944,name_change,,RIVER SAFARI,1.40400156118078,103.79142665808
54,LENTOR GARDENS,788845,LENTOR MANSION (U/C),1.38327514262867,103.833148101837,name_change,,NIL,1.38327514262867,103.833148101837
17,JURONG PORT ROAD,619092,HH GROUP BUILDING,1.31954790471163,103.72128114366,name_change,,NIL,1.31954790471163,103.72128114366
10,WOODLANDS RING ROAD,738239,WOODLANDS RING SECONDARY SCHOOL (U/C),1.43648894729939,103.800148469692,name_change,,WOODLANDS RING SECONDARY SCHOOL,1.43648894729939,103.800148469692
1,JURONG WEST STREET 74,649149,GEK POH VILLE COMMUNITY CLUB,1.34868982375562,103.698726261467,name_change,,GEK POH VILLE COMMUNITY CLUB (PENDING U/C),1.34868982375562,103.698726261467
34,LENTOR HILLS ROAD,788852,LENTORIA (U/C),1.38196577099896,103.834569911036,name_change,,NIL,1.38196577099896,103.834569911036
90,STAMFORD ROAD,178903,SMU DE SUANTIO GALLERY,1.29797001327877,103.848868170098,name_change,,SINGAPORE MANAGEMENT UNIVERSITY (SCH OF ECONOMICS AND SOCIAL SCI),1.29792526598144,103.848850758227
501,OLD CHOA CHU KANG ROAD,698928,HOME TEAM ACADEMY (BLK 10),1.37187204750828,103.720870792771,name_change,,HOME TEAM ACADEMY (BLK 1),1.3728276965341,103.722414544985
71,PASIR RIS DRIVE 3,519872,PASIR RIS INTEGRATED TRANSPORT HUB,1.37404506072677,103.948704268491,name_change,,BUS INTECHANGE,1.37404506072677,103.948704268491
3A,PASIR RIS DRIVE 6,519422,VIDACITY,1.37066952335502,103.955733346201,name_change,,NIL,1.37066952335502,103.955733346201
100,JURONG ISLAND HIGHWAY,627867,NIL,1.26907088657711,103.69845992241,location_change,2139.089828315481,NIL,1.27776680299102,103.681296002911
543,YISHUN INDUSTRIAL PARK A,768765,PBA BUILDING,1.44276939320888,103.838693338166,name_change,,NIL,1.44276939320888,103.838693338166
24,LENTOR CENTRAL,788878,HILLOCK GREEN,1.38509631948606,103.833849401084,name_change,,NIL,1.38509631948606,103.833849401084
20A,TUAS SOUTH AVENUE 14,637311,TUAS LOGISTICS HUB,1.2717303743422,103.621613126657,name_change,,LOGOS TUAS LOGISTICS HUB,1.2717303743422,103.621613126657
535,CLEMENTI ROAD,599489,NGEE ANN POLYTECHNIC (BLK 1),1.33351616007246,103.776976659192,name_change,,NGEE ANN POLYTECHNIC (BLK 15),1.3356017543037,103.776460419135
2,JURONG EAST CENTRAL 1,609731,J'DEN (U/C),1.33335548871256,103.740182040775,name_change,,J'DEN,1.33335548871256,103.740182040775
58,LENTOR GARDENS,788847,LENTOR MANSION (U/C),1.38327514262867,103.833148101837,name_change,,NIL,1.38327514262867,103.833148101837
62,LENTOR GARDENS,788849,LENTOR MANSION (U/C),1.38327514262867,103.833148101837,name_change,,NIL,1.38327514262867,103.833148101837
133,JALAN SULTAN,199016,HERITAGE COLLECTION ON VICTORIA,1.30462433931598,103.860126072123,name_change,,KAMPONG GLAM CONSERVATION AREA,1.30462433931598,103.860126072123
80,STAMFORD ROAD,178902,SMU SCHOOL OF COMPUTING & INFORMATION SYSTEMS 1,1.29737732421801,103.849551540547,name_change,,SINGAPORE MANAGEMENT UNIVERSITY (SCHOOL OF INFORMATION SYSTEMS),1.29737732421801,103.849551540547
